(Do Not Modify) SBIR,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Topic,Agency,Type,Proposal Lead,Reviewed,Phase,Deadline,Priority,Release Date,Open,Core Competency,Description
f9486708-a513-417e-8cbf-7fd26682335d,exKu4dyQK8omPoicR4LBAyCLvl0GlA8bysr4vSXL9XeK1BPgNMXfdmX3V3xH5nSqVwXvmAaFrThjDhWBjMrZDg==,10/28/2025 14:01,Army FUZE (TBP),Army,RFP,,No,,11/28/2025,,10/13/2025,,Quantum & Autonomy,"FUZE Rollout occurs at AUSA 13-18OCT
https://meetings.ausa.org/annual/2025/xtech_search.cfm"
7ba04566-a91c-4b3b-8b37-bae4ee7c8935,hp7wGS0OquuPrgAl9G5raHQnHFVmdDk9PH6tQ04Mr31t8i5rhXuQe+ZUKM3gefJpuHfoTsy44wRu+hmkAc5EJg==,7/28/2025 15:23,BAA - SSC FreeSol,USAF,RFP,,Yes,,2/22/2029,,,5/5/2025,Quantum & Autonomy,
5fa0bf56-addf-4e40-83f9-a05c422ba753,tGgXfeL7ppY9+B4K4IG45iSsjj1gw9XrM3VMCnUtEfqkxIC+Bl0pkAD1iqmRt7fVP/ziEsjSsk8cI/mCumMT1A==,8/8/2025 20:20,BAA DARPA Oen Topic - Microsystems Technology Office (MTO) Office-wide,DARPA,RFP,,No,,10/9/2025,,,,,This announcement seeks revolutionary research ideas for topics not being addressed by ongoing MTO programs or other published solicitations.
e6639b00-8c51-4514-b93a-8f33d0064a97,dl/+QrMBkr+XHRil9OpNPyS8F1TtT5XzGbXbCqgWPfF5CHzBXP8SJevzT4XsIDM9R7VrJ1RlGwwYP1TWNzQCsA==,7/29/2025 21:10,BAA for Advancement of Technologies for Use by Special Operations Forces,SOCOM,RFP,,No,,12/31/2029,,7/28/2025,8/1/2025,Quantum & Autonomy,
50d7d01d-b411-4d2d-adbe-fad7d19c08c8,9kAAlUA5RjBcdL/Q01q6ncA4mO2SD4ck/EtmZGX36bHLwHIR29+fUfv2HbrvCS2DB4L6ton+lvbdKQ7BGZaFrw==,7/28/2025 19:27,Benchmark AI/ML Models for Chem/Bio,NIST,RFP,,Yes,,,,,,"CBRN, Health & Life Sciences ",
bdf979bc-fd89-49f8-a7a3-b90ce653bb73,uNktR4H3WX/43gbDGDL3zN/OAxQsjAiIO+2MgbG9/m8PqbYxvKSKBx/T+1fqvStiByMhZ7Bdz7SYwQi1aOHk/A==,11/14/2025 23:14,CHIPS Act BAA - 2025-NIST-CHIPS-CRDO-01,NIST,RFP,,No,,9/30/2029,,9/24/2025,9/24/2025,Quantum & Autonomy,"To grow U.S. leadership in semiconductor technology and accelerate the pace of commercialization to enable technology dominance in the industries of the future, in areas including advanced microelectronics research and development with a nexus to Artificial Intelligence (AI), Quantum Technology, Biotechnology, Biomanufacturing, Commercialization of Innovation, and/or Standards Development."
47bb16c2-2b12-48dd-91c3-cb5665be0bd8,1pY7WzyF28JYTwEzHI7YBQXLEggyCqEjJ9ihHsmjI4XuhYD3u1Ge7Fxo0oUs4rMNlLJsc36bd+KFUN2wAok0dw==,8/28/2025 21:48,CISA and GSA’s AAS Cyber DOME IDIQ (release 2QFY26),CISA,RFP,,No,,,,2/3/2025,,,
a4b33390-9556-f011-877a-6045bd0334c4,VHqNFKbQ+5uYp3CIal4ICHk5L5VsrlUMLdRxOoXtNOkdKO1o6dj8kWDIkXaDj3ERWgCi24IdsNMym5T57gpAkg==,7/9/2025 19:54,CSO - NeedipeDIA,,RFP,,No,,,,6/23/2025,6/23/2025,,
bb6eccc4-1212-41f1-93ab-4a21dc7aeafa,dsu8VahbS68oKfrkUBDeEtiyk4xX8EIvgGQyrfGV0EM8Pm6QuwqbP6SnlBIGE7IKpWYWnqAvtLX/NYUh4MV8Bw==,9/15/2025 22:49,CWMD (SoarTech) IEW Ph II - Objectives 2 and 3 (RPP-25-06),DTRA,RFP,,Yes,Phase II,9/2/2025,,7/24/2025,7/24/2025,"CBRN, Health & Life Sciences ",
fb5b894a-cbed-4c2c-80aa-fde19f150b7d,AewHd7XhX1YKzKjw21x+OwdoZSq9xdHy6xTvZOv/BJgfPd5ThOnTBXCNGA8vgOqd9+E5yYbHLjipI1WJBLtSTA==,10/9/2025 14:02,CWMD Draft SOO: JSTO Enterprise Data and Artificial Intelligence (JEDAI) Ecosystem,CWMD Consortium,Publication,,No,,10/31/2025,,9/8/2025,,,"Project Objectives
DTRA JSTO's Enabling Science and Technology Division (RD-CBE) is seeking to develop JEDAI, an Enterprise Data and DevSecOps-enabled AI/ML Ecosystem for the Chemical and Biological Defense Program (CBDP) through
a three-phase approach. The effort's objective is to incrementally create a comprehensive data architecture and AI/ML framework, in accordance with government and commercial best practices, that integrates diverse CB data sources, enables advanced analytics, and provides decision support capabilities to enhance the effectiveness of CB defense operations, with mandatory integration of existing CB platforms and data sources throughout all phases"
01e1880e-ba6c-477b-9c85-ec80992e2cf5,O8SeOQyh+J23YzCqVwUkTkyxI3Qo9aCZr1A47lL1ni5h42MeCGaZ0KEzfuYVjN88I8FXqtadB6f2eEBX4WmOQQ==,7/28/2025 19:11,Defense Logisitics Agency (DLA) CSO,DLA,RFP,,Yes,,,,,,Business and Digital Transformation,
93a6b847-9056-f011-877b-000d3a35c884,FktNwGaZV0kGLAx4mHwIewdAhzPesqITHdWyHSw4u3OaiMYCxFqlB8Ii8Hm4j36sJOPIzrSwEeey41ehbyZD+w==,9/3/2025 14:53,Defense Production Act Title III Expansion of Domestic Production Capability and Capacity - Funding Opportunity Announcement (FOA),,RFP,,Yes,,,,,,,
b0fa823b-f4a0-4f4f-8168-885bd5e17ec7,PVqvouZ2ho55MH3u+fxpKeHzT7aWK75qeG3TJ8ims4f/7MvRs2s0mhfMUfUFtARoCBJtGab7GVGJcD9BWkL9AQ==,8/12/2025 13:59,Defense TechConnect Innovation Summit & Expo 19-21NOV25,TechConnect,Tech Challenge,Benjamin Harvey,No,,,,,,Quantum & Autonomy,"Join top innovators from across defense, industry, and academia by presenting your research at the Defense TechConnect Innovation Summit & Expo, taking place this November.
The poster presentation program offers a high-visibility opportunity to connect your work with the nation’s leading technology scouts—military tech scouts, federal R&D managers, and private-sector collaborators—who are actively seeking solutions to today’s mission-critical challenges.

Why Present?
Gain exposure to key stakeholders across the innovation ecosystem
Share your research with agencies focused on accelerating deployment
Network with potential collaborators and end users
Highlight the dual-use impact of your work (civilian + defense)

Focus areas include:
Advanced Manufacturing
Advanced Materials
Aerospace & Defense
AI, Cyber & Digital Solutions
Autonomous Systems
Biotech & Medical Innovation
Communications & C5ISR
Energy & Resilience
Microelectronics & Sensors

Submissions are reviewed for technical merit, relevance to defense needs, and innovation readiness. Work demonstrating strong alignment with Department of Defense priorities—and a clear path to deployment—will be given priority.
﻿Submit your abstract by August 29 and connect your research with real-world impact."
81127dce-a355-41fb-a192-2e3e80546510,i1jpK3hsyOn5W6XN4aLIY6rm7evot6g+ko3LB18gPz/SruRsGoS9JvGH5o/IEMSD8KERFP5Tnjo/dsbKUzAFng==,7/28/2025 16:26,Department of Commerce,Commerce,SBIR,Other,No,Phase III,,,,,Business and Digital Transformation,
f9921a49-0be7-4e60-99c6-a40b44e656c8,2qIddOlfbiO6TaFTGT/kYTj3NodrdFqt9r3vkAfYkMLcCOviyWu9ObKyZ5jM0v4zjzxfhqz5nOC0e7RvC35VOw==,9/8/2025 16:30,DHS Maritime CSO,DHS,RFP,Other,Yes,,8/5/2026,,8/5/2025,,Quantum & Autonomy,"The Program Director gave me permission to submit Isidore.  I am doing Isidore, SmartBeam, and Blaise.  Isidore and SmartBeam will be one submission, Blaise will be a separate submission.  The first gate is a video."
b1311831-039f-4562-aa94-4bef95404d1d,pLPwJVvuwlrvpx9KATyjB36QNLIX8sFoF/DDY/NA56gHqM3mWaVgr+T9lz0USAnW3Ftktv55kvsUgRBrkQcKLw==,8/21/2025 14:30,DIU Challenge: Blue Object Management,DIU,Tech Challenge,,No,,9/5/2025,,,,Quantum & Autonomy,"Effective decision making across defense missions depends on fast, reliable access to integrated data from diverse systems and sources. Currently, without a Blue Object Management System, tracking and managing friendly assets relies on manual processes and disparate systems, leading to potential delays, inaccuracies, and reduced system interoperability. The Defense Innovation Unit (DIU), in partnership with U.S. Indo-Pacific Command (USINDOPACOM), presents the 2025 Blue Object Management Challenge, focused on advancing AI-enabled decision-making capabilities that improve how mission-critical data is integrated, accessed, and used across Department of Defense (DoD) platforms and forces. 

In military operations, “blue objects” refer to friendly forces which include U.S. warfighters, equipment, and infrastructure. Blue object management involves the real-time tracking and coordination of these assets, providing commanders with accurate, up-to-date operational awareness, particularly in dynamic or contested environments. 

This challenge seeks companies that are developing dynamic data integration solutions, smart databases, and sensing to enable AI-powered insights that provide insight into Blue Objects, at the speed of mission need.

Participation and selection in the challenge cohort serves as the entry point to a 12- week accelerator program designed for direct engagement with the DoD mission partners to understand real-world challenges, work closely with the accelerator team to test and validate technologies against national security applications, and build a foundation for doing business with the DoD. Selected companies will also gain access to a robust network of private investors and commercial partners."
6c8828ab-5cef-478b-93e6-14b4d1ac0a31,2Cj2IaF33vzapYrwaOZqokwJq0DY8Nx2VadoeSJpJd3soa9mzLAc+WhFYEZbOTZc93FE0lQDCCNekvLg4i159w==,9/3/2025 22:51,DLA JETTS Enterprise RPA Data Visualization Tool (Wits),DLA,RFP,Other,Yes,,9/9/2025,,,,Business and Digital Transformation,
2f4d5b23-cc7d-4e86-b1c7-c52781fc6588,7BoCIQmCNDDzv81zSMr0LqgKDpHCoza298LUilhLJPZqkc360OHj1zstn29Qkc3y0C4X3CtGLsffnyunZgWBEw==,7/28/2025 22:27,DoD Mentor Protege Program,DoD,RFP,George Stephenson,Yes,,,,,,Quantum & Autonomy,
6d555b22-4921-4a68-8204-080983aaf2cc,1t67A+RhQIM9cOcVBjxIRA/Jp/+P/8y4BDJxjlENTKX9RVDoED/fg/xOCaCcdh7K4rHdcKbSaLN61W2H9eVuWg==,8/7/2025 20:32,DOD SBIR 2024.4: Cyber Compliant High Throughput Router for Contested Space Environments,USSF,SBIR,Riaan Gouws,Yes,D2P2,,,,,Space & Assurance,
f6f7d352-14ae-4552-993c-3267a437bf3a,xYLatGDx8EFPNHTNc8zqXndg7548N3Xd3zbL4Ocj9H8gTj3hMqhW62QwbNBUat0J4csTrw44q4/ZQxKQnuwOMA==,11/14/2025 15:20,DOE SENTRY - CWX-024-CESER,DOE,RFP,,Yes,,12/1/2025,,9/30/2025,9/30/2025,Quantum & Autonomy,"September 30, 2025: Opportunity Announcement and Application Open
October 30, 2025 at 2PM ET: Informational Webinar/Objective Strategy Session (OSS)
November 13, 2025 at 2PM ET: Office Hours for outstanding questions
December 1, 2025 at 5PM ET: Application period closes
Spring 2026: Target Selection Date
Spring 2026: Target Kickoff

The U.S. Department of Energy (DOE), through its Office of Cybersecurity, Energy Security, and Emergency Response (CESER), is issuing the Securing ENergy Technology ResiliencY (SENTRY) Opportunity Announcement to solicit innovative proposals from commercial technology startups. This initiative aims to significantly enhance the security, resilience, and operational efficiency of the nation’s energy infrastructure by addressing critical challenges across four key areas: developing energy-sector-specific risk quantification frameworks, enhancing ICS/OT cybersecurity and threat emulation, identifying and mitigating vulnerabilities across the entirety of Decentralized Asset Management Systems (DAMS), and establishing cost-effective counter-adversarial drone capabilities. Proposals will be accepted from eligible domestic entities with strong industry ties, offering awards up to $853,750 per project up to three years."
26aa1e60-6458-f011-877b-000d3a5bedd0,FeGpx+x3csNYMrwi2IbzjhpYog0z+9zGImzTtj1S65rQWrIS4jr1IYxh2cvokMF0zw/bbrOgmPJjgjxH0u0jGw==,9/15/2025 21:55,DTRA254-003 - Droppable Chemical Warfare Agent Sensor,DTRA,SBIR,Joey Bosarge,Yes,Phase I,7/23/2025,,6/25/2025,6/25/2025,"CBRN, Health & Life Sciences ","CBRN Technical Forces employ the Joint Chemical Agent Detector (JCAD) to provide individual CWA detection and alerting in real-time during operations in potentially contaminated environments. However, given the JCAD’s weight, power, and lack of native mesh networking capability, it is not an optimal sensor to employ from individuals or uncrewed systems [1]. The droppable chemical agent detection sensor is an ultra-compact, low SWaP, device designed to provide real-time detection, identification, and mapping of chemical warfare agents and VOC’s in operational environments. Engineered for deployment by aerial or ground uncrewed vehicles and individual personnel, the sensors provide rapid hazard awareness for Special Operations Forces. Once deployed, each sensor continuously monitors the environment, autonomously analyzing air samples and providing immediate detection alerts. Upon detection, the sensor generates geolocated data, automatically pushing its detection results and environmental metadata into ATAK.

 

Through embedded wireless mesh networking capability, the sensors create a resilient, scalable, detection grid, allowing the information or real-time hazard maps that update dynamically as threat presence change. Data is transmitted using Cursor-On-Target messages, enabling seamless interoperability with ATAK clients, WebTAK, WinTAK, and TAK servers. Sensor status, detection, and locations are visualized directly on the ATAK map, allowing users to rapidly assess affected areas and informing operational decisions.

 

Requirements for this development are as follows:

Drop Sensor SWaP:
<2.5” diameter, <1” height
Weight = <2.5 oz.
Scalable employment options for UAS employment
Capable of identifying a range of CWA and TIC; response time <5mins
48-hour battery life, extendable sleep mode option
Geolocated outputs; each detection tagged with GPS coordinates
Mesh Networking; multiple sensors interconnect to expand coverage and maintain communication in denied communications environments
Integration into the ATAK CBRNPI utilizing ProtoBuff programming language partnered with a DTRA-approved ATAK CBRNPI Developer
Drop-tested to MIL-STD-810G for ruggedization"
232a7608-c7ba-48ae-b7eb-5276f993153c,vl+Kj7UEiIomtUKpDeK483H7G4PNmrHnkTdzVVzICizIIrntyBOoq0/z23dKaiFWqyJsoMt0AP8aotnxKEnGrA==,11/13/2025 18:22,DTRA254-P005 Open Topic - Novel Technologies for CWMD and Related Threats,DTRA,SBIR,,No,Phase I,12/10/2025,,9/3/2025,9/24/2025,"CBRN, Health & Life Sciences ","The FY21 National Defense Authorization Act contained a congressional mandate to address the adequacy of strategies to prevent, counter, and respond to WMD terrorism. For nearly eight decades, the world has been navigating the dangers of the nuclear age. Despite Cold War tensions and the rise of global terrorism, nuclear weapons have not been used in conflict since Hiroshima and Nagasaki in 1945. Efforts such as strategic deterrence, arms control, non-proliferation agreements, and the U.S.-led global counterterrorism movement have helped to keep nuclear and other WMD incidents at bay. However, this success to date cannot be guaranteed in the future. U.S. efforts to counter nuclear or radiological terrorism are not keeping pace with the evolving threat landscape. The U.S. government should maintain a strategic focus and effort on combatting terrorism across the national security community in coordination with international partners, State, Local, Tribal and Territorial authorities, the National Laboratories, universities and colleges, and civil society. As well as developing and sustaining adequate CWMD incident response and recovery capabilities. DTRA is at the forefront of development of these capabilities."
1acd24da-a855-4c24-93b1-3cc7ab2caea3,vlldCxlk4mlNWbrt+drnPvumL9EIq2bMmHSnIIYtR4wQAtSAuqGMBFPyshAFBPGnKH3t0ewF87KNJAK//kEkJg==,7/30/2025 21:13,EPJ Quantum Technology Journal,EPJ,Publication,Other,Yes,,9/30/2025,,7/30/2025,7/30/2025,Quantum & Autonomy,"Quantum technologies are advancing at an unprecedented pace, with applications spanning fundamental research to practical implementation across diverse sectors. A critical and timely consideration is the dual-use nature of these technologies, which serve both civilian and military purposes. While quantum technologies promise to revolutionize areas such as communication, sensing, computing, and cryptography, they also raise significant ethical, strategic, and policy challenges due to their dual-use potential. At the same time, the term “dual-use” is not clearly defined. Technology development often serves both civilian and non-civilian purposes. This can be driven from the civilian innovation landscape, turning into applications in the non-civilian domain - or vice versa.

This special collection explores the development, deployment, and implications of dual-use quantum technologies, focusing on the interplay between technology development, innovation policy, and strategic considerations. The collection aims to provide concrete and timely examples of the various aspects of dual-use R&D in the fields of quantum technology."
490fedb5-9bbd-42ad-b146-8d8fb9fc3f61,cVjOZ5ksAdqEMPLkhVdAab3J3mYTa++ugqTHGsIiVBHkZdiSnvU+2j85vzdcMpQZloReWqhfcPUkQ9Lwc0oRYg==,8/18/2025 15:44,ERDC CSO - Cybersecurity for Advanced Computing and SW Modernization,USACE - Army Corps of Engineers,RFP,,No,,9/8/2025,,8/13/2025,8/13/2025,Quantum & Autonomy,"DoD operational environments are rapidly evolving through the integration of artificial intelligence (AI), edge computing, distributed cloud-native systems, and autonomous technologies. These capabilities enable real-time  decision-making and dynamic operations across multiple domains. However, traditional cybersecurity frameworks are inadequate to address the threat landscape, which includes sophisticated adversarial cyber operations, supply chain vulnerabilities, AI system manipulation, and quantum-era decryption risks.  The Department faces an urgent challenge in safeguarding the rapidly evolving landscape of advanced computing and software-defined capabilities. Traditional cybersecurity models were not designed for the distributed, dynamic, and AI-driven systems now central to mission success. As the DoD integrates cloud-native architectures, edge computing, autonomous systems, and real-time data processing at scale, existing security frameworks reveal significant gaps in adaptability, visibility, and resilience. This expanding attack surface — compounded by adversarial threats, software supply chain risks, and the onset of quantum-era cryptographic vulnerabilities — demands a fundamental rethinking of how cybersecurity is engineered, deployed, and sustained. To ensure mission assurance in contested digital environments, the DoD must accelerate the adoption of groundbreaking cybersecurity solutions."
